mktcap,debt,sales,income,assets,seo
2047.3,143.3,78.9,-57.1,260.3,1
53.2,7.2,22,0.6,16.5,1
656.3,250,924.6,28.1,1512.9,1
167.8,0.7,9.6,-3.3,10.6,1
1253.1,2.9,634.5,33.1,247.5,1
34.8,0.1,38.2,-0.6,18.1,1
20.7,20.1,59.6,1.3,16.4,1
76.4,0.8,19.9,-1.4,9.4,1
372.7,2,27.4,-22.7,57.3,1
73.7,1.2,78.2,-1.4,40.9,1
226,0.1,25.6,3.7,24,1
79.2,0.9,7.2,2,9.6,1
36.2,241.8,49.7,6.2,608.4,1
184.5,9.9,3.1,-20.7,43.8,1
333,5.9,819.4,6.6,259.6,1
67.3,1.2,10,-1.9,4.3,1
277.2,1.5,125.4,-1.5,48.9,1
388.2,219.9,210.5,-7.6,304.7,1
841.6,0.1,19.7,16.9,51.3,1
52.3,1.6,19.7,-4.4,22.4,1
176.4,1.1,3.8,-8.7,11.6,1
87.6,5.1,25.4,1.3,40.7,1
267.4,0.1,117.9,-16.4,65.1,1
21.7,0.8,5.8,-11.3,9.8,1
696.7,353.9,91.3,-20.1,125.9,1
638.4,125,415.6,7.1,347.6,1
146.5,3.7,211.8,8.4,88.7,1
103.6,0.7,25.3,1,12,1
37.1,2.1,4.6,-4,11,1
219.1,48.2,306.1,10.4,167.4,1
138.4,1.4,1.7,-5.8,22.3,1
257.9,0.7,69.7,-8.3,79.5,1
4341.6,46,508.1,20.1,341.4,1
140.8,5.1,26.3,4.1,35.9,1
136.2,13.5,1034.9,4.6,281.9,1
73.2,0.2,5.6,-5.7,4.7,1
219.2,2.5,31.6,4.7,59.6,1
