age,sex,educ,income91,satjob,life,impjob,hrs1,degree,anomia5,happy
71,Female,14,NA,Very satisfied,Exciting,Not at all important,NA,High school,Agree,VERY HAPPY
49,Female,8,$10000-12499,Very satisfied,Exciting,Very important,24,Less than HS,Agree,NOT TOO HAPPY
24,Female,12,$60000-74999,Mod satisfied,Routine,Very important,44,High school,Agree,PRETTY HAPPY
43,Male,13,$35000-39999,Very satisfied,Routine,Very important,45,High school,Disagree,PRETTY HAPPY
41,Male,15,$75000+,Mod satisfied,Routine,One of most important,40,High school,Agree,PRETTY HAPPY
41,Female,12,$30000-34999,Very satisfied,Exciting,Very important,40,High school,Agree,PRETTY HAPPY
46,Female,12,$35000-39999,Very dissatisfied,Routine,Very important,40,High school,Agree,NOT TOO HAPPY
65,Female,12,$60000-74999,Very satisfied,NA,Very important,NA,High school,NA,PRETTY HAPPY
33,Male,16,$25000-29999,Very satisfied,Exciting,Very important,45,Bachelor,Agree,VERY HAPPY
33,Female,14,$17500-19999,Very satisfied,Exciting,Very important,80,Junior college,Disagree,PRETTY HAPPY
45,Female,12,$30000-34999,Mod satisfied,NA,Very important,40,High school,NA,PRETTY HAPPY
25,Female,18,NA,NA,NA,One of most important,NA,Bachelor,NA,PRETTY HAPPY
24,Male,16,$12500-14999,Mod satisfied,Exciting,Very important,40,Bachelor,Disagree,VERY HAPPY
