,age,sex,educ,income91,richwork,satjob,life,impjob,hrs1,degree,anomia5,satjob2,marital,agewed,zodiac,postlife,happy,hapmar,tvhours
99,57,Female,12,35000,Stop working,Very satisfied,Exciting,Very important,8,High school,Disagree,Very satisfied,MARRIED,20,GEMINI,YES,PRETTY HAPPY,PRETTY HAPPY,3
100,37,Female,14,75000,Stop working,Mod satisfied,Routine,Somewhat important,40,High school,Disagree,Not very satisfied,MARRIED,28,VIRGO,YES,PRETTY HAPPY,PRETTY HAPPY,1
101,72,Female,12,22500,Continue working,Very satisfied,Routine,Very important,35,High school,Agree,Very satisfied,MARRIED,27,CANCER,NO,PRETTY HAPPY,PRETTY HAPPY,2
102,33,Male,12,60000,Stop working,A little dissatisfied,Routine,Somewhat important,46,High school,Agree,Not very satisfied,MARRIED,25,SCORPIO,YES,PRETTY HAPPY,PRETTY HAPPY,1
103,42,Male,12,50000,Stop working,Mod satisfied,Exciting,Not at all important,40,High school,Agree,Not very satisfied,MARRIED,27,VIRGO,YES,PRETTY HAPPY,PRETTY HAPPY,1
104,32,Female,12,50000,Stop working,Mod satisfied,Routine,Very important,48,High school,Disagree,Not very satisfied,MARRIED,22,SAGITTARIUS,NO,PRETTY HAPPY,VERY HAPPY,2
105,29,Male,12,75000,Continue working,Mod satisfied,Exciting,One of most important,80,High school,Agree,Not very satisfied,MARRIED,20,TAURUS,YES,PRETTY HAPPY,PRETTY HAPPY,2
106,23,Male,12,12500,Continue working,Very satisfied,Exciting,Very important,51,High school,Agree,Very satisfied,MARRIED,18,CANCER,YES,NOT TOO HAPPY,VERY HAPPY,2
107,42,Male,12,35000,Stop working,Very satisfied,Exciting,Very important,42,High school,Agree,Very satisfied,MARRIED,19,CANCER,YES,VERY HAPPY,VERY HAPPY,2
108,28,Male,12,15000,Continue working,Very satisfied,Exciting,Very important,40,High school,Agree,Very satisfied,MARRIED,27,LIBRA,YES,PRETTY HAPPY,VERY HAPPY,2
109,58,Male,16,75000,Continue working,Very satisfied,Exciting,Very important,70,Graduate,Disagree,Very satisfied,MARRIED,26,AQUARIUS,YES,VERY HAPPY,VERY HAPPY,4
110,31,Female,12,60000,Continue working,Very satisfied,Exciting,Somewhat important,40,High school,Disagree,Very satisfied,MARRIED,18,AQUARIUS,YES,PRETTY HAPPY,PRETTY HAPPY,2
111,26,Female,13,40000,Stop working,Mod satisfied,Routine,Somewhat important,40,High school,Agree,Not very satisfied,MARRIED,19,SCORPIO,YES,PRETTY HAPPY,VERY HAPPY,3
112,31,Female,12,20000,Stop working,Very satisfied,Exciting,Somewhat important,15,High school,Disagree,Very satisfied,MARRIED,20,SAGITTARIUS,YES,VERY HAPPY,VERY HAPPY,4
